index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
1315,BGD,DEU,1,2012,133355741.184,0.0,0.0,577001.0448264322
1316,BGD,DEU,1,2012,133355741.184,3533242368.0,7084.0,0.1129999961704016
1317,BGD,DEU,1,2013,149990457.344,0.0,0.0,604893.3878846569
1318,BGD,DEU,1,2015,195078553.6,0.0,0.0,862538.9226589052
1319,BGD,DEU,2,1998,44091752.448,2239913263.104,7084.0,448811.20561182505
1320,BGD,DEU,2,2000,47124926.464,0.0,0.0,593693.6793101467
1321,BGD,DEU,2,2001,46987841.536,0.0,0.0,574461.3353209328
1322,BGD,DEU,2,2001,46987841.536,1947928363.008,7084.0,0.3240000009536743
1323,BGD,DEU,2,2002,47571128.32,2076303425.536,7084.0,600987.0821998296
1324,BGD,DEU,2,2003,51913662.464,0.0,0.0,1049479.0558334393
1325,BGD,DEU,2,2003,51913662.464,2502313639.936,7084.0,2.284000039100647
1326,BGD,DEU,2,2004,56560742.4,0.0,0.0,23.31800079345703
1327,BGD,DEU,2,2004,56560742.4,2815593021.44,7084.0,1390332.4808159915
1328,BGD,DEU,2,2005,60277559.296,2857558605.824,7084.0,1469023.512575182
1329,BGD,DEU,2,2006,71819091.968,0.0,0.0,2429.060099601746
1330,BGD,DEU,2,2006,71819091.968,2998466510.848,7084.0,1755650.1905173406
1331,BGD,DEU,2,2007,79611887.616,0.0,0.0,2002230.2759175587
1332,BGD,DEU,2,2008,91631280.128,3747055403.008,7084.0,2018999.7326161365
1333,BGD,DEU,2,2009,102477791.232,0.0,0.0,2194220.480542759
1334,BGD,DEU,2,2010,115279077.376,0.0,0.0,2647030.3156018597
1335,BGD,DEU,2,2010,115279077.376,3412008894.464,7084.0,122.1779989749193
1336,BGD,DEU,2,2011,128637935.616,3752110063.616,7084.0,3781864.7648523245
1337,BGD,DEU,2,2012,133355741.184,0.0,0.0,3603781.4034449905
1338,BGD,DEU,2,2013,149990457.344,0.0,0.0,3738824.699932459
1339,BGD,DEU,2,2013,149990457.344,3730260623.36,7084.0,124.2229979634285
1340,BGD,DEU,2,2015,195078553.6,0.0,0.0,4673182.047785436
1341,BGD,DEU,2,2015,195078553.6,3363599810.56,7084.0,1.450000047683716
1726,BGD,FRA,1,1998,44091752.448,1510758285.312,7924.0,96934.30719059706
1727,BGD,FRA,1,2000,47124926.464,1368438341.632,7924.0,112335.65463006077
1728,BGD,FRA,1,2001,46987841.536,1382218334.208,7924.0,79719.00629013113
1729,BGD,FRA,1,2002,47571128.32,1500337799.168,7924.0,50845.89584758866
1730,BGD,FRA,1,2003,51913662.464,1848124112.896,7924.0,115087.1946502428
1731,BGD,FRA,1,2004,56560742.4,2124204605.44,7924.0,75126.42418448534
1732,BGD,FRA,1,2005,60277559.296,2203623882.752,7924.0,79440.9530631922
1733,BGD,FRA,1,2006,71819091.968,2324892745.728,7924.0,142428.27853485697
1734,BGD,FRA,1,2007,79611887.616,2662975930.368,7924.0,142936.65853354044
1735,BGD,FRA,1,2008,91631280.128,2923574067.2,7924.0,192942.63716258563
1736,BGD,FRA,1,2009,102477791.232,2693665128.448,7924.0,158499.19032829104
1737,BGD,FRA,1,2010,115279077.376,2646837035.008,7924.0,93774.98441727506
1738,BGD,FRA,1,2011,128637935.616,2862680113.152,7924.0,145263.3371773268
1739,BGD,FRA,1,2012,133355741.184,2686722506.752,7924.0,129078.95013447269
1740,BGD,FRA,1,2013,149990457.344,2806427942.912,7924.0,199843.78003435943
1741,BGD,FRA,1,2015,195078553.6,2433561919.488,7924.0,188911.55196806637
1742,BGD,FRA,2,1998,44091752.448,1510758285.312,7924.0,447455.29973471165
1743,BGD,FRA,2,2000,47124926.464,1368438341.632,7924.0,332443.22837974876
1744,BGD,FRA,2,2001,46987841.536,1382218334.208,7924.0,315744.67901463434
1745,BGD,FRA,2,2002,47571128.32,1500337799.168,7924.0,339946.6161799636
1746,BGD,FRA,2,2003,51913662.464,1848124112.896,7924.0,444180.65897379816
1747,BGD,FRA,2,2004,56560742.4,2124204605.44,7924.0,627203.821968717
1748,BGD,FRA,2,2005,60277559.296,2203623882.752,7924.0,615815.7801431922
1749,BGD,FRA,2,2006,71819091.968,2324892745.728,7924.0,708840.7874279051
1750,BGD,FRA,2,2007,79611887.616,2662975930.368,7924.0,855675.1299010599
1751,BGD,FRA,2,2008,91631280.128,2923574067.2,7924.0,908739.7865482494
1752,BGD,FRA,2,2009,102477791.232,2693665128.448,7924.0,1020874.8800469358
1753,BGD,FRA,2,2010,115279077.376,2646837035.008,7924.0,1223391.44813014
1754,BGD,FRA,2,2011,128637935.616,2862680113.152,7924.0,1560386.024932276
1755,BGD,FRA,2,2012,133355741.184,2686722506.752,7924.0,1274997.853041172
1756,BGD,FRA,2,2013,149990457.344,2806427942.912,7924.0,1339539.1789322172
1757,BGD,FRA,2,2015,195078553.6,2433561919.488,7924.0,1755397.513140432
1808,BGD,GBR,1,1998,44091752.448,1529138774.016,8017.0,252970.0542869568
1809,BGD,GBR,1,2000,47124926.464,1548663914.496,8017.0,144501.5003725203
1810,BGD,GBR,1,2001,46987841.536,1529094602.752,8017.0,140303.96945248253
1811,BGD,GBR,1,2002,47571128.32,1674417012.736,8017.0,139256.39389024873
1812,BGD,GBR,1,2003,51913662.464,1943714267.136,8017.0,117389.65594366647
1813,BGD,GBR,1,2004,56560742.4,2298127056.896,8017.0,115356.6358348435
1814,BGD,GBR,1,2005,60277559.296,2412116443.136,8017.0,166178.38986566232
1815,BGD,GBR,1,2006,71819091.968,2582815965.184,8017.0,275368.44250226725
1816,BGD,GBR,1,2007,79611887.616,2963265290.24,8017.0,148235.92773286847
